date,player_id,country,game_id,Cash turnover,Bonus turnover,Cash winnings,Bonus winnings,Turnover,Winnings,Cash result,Bonus result,Gross result
2017-04-01,8,SE,1685,0,0,182.01464509766822,0,0,182.01464509766822,-182.01464509766822,0,-182.01464509766822
2017-03-22,11,FI,420,0,0,172.5,0,0,172.5,-172.5,0,-172.5
2017-04-01,33,SE,1400,0,0,163.65581922326365,0,0,163.65581922326365,-163.65581922326365,0,-163.65581922326365
2017-04-05,36,GB,1659,0,0,152.34131113423473,0,0,152.34131113423473,-152.34131113423473,0,-152.34131113423473
2017-03-30,40,FI,1447,0,0,132.3,0,0,132.3,-132.3,0,-132.3
2017-03-24,3,SE,1576,0,0,105.15799989484199,0,0,105.15799989484199,-105.15799989484199,0,-105.15799989484199
2017-04-07,15,SE,1463,0,0,96,0,0,96,-96,0,-96
2017-03-22,26,GB,399,0,0,90.810446361787882,0,0,90.810446361787882,-90.810446361787882,0,-90.810446361787882
2017-03-24,18,GB,2651,0,0,85.808927914191074,0,0,85.808927914191074,-85.808927914191074,0,-85.808927914191074
2017-03-22,19,SE,1576,0,0,84.278836530661607,0,0,84.278836530661607,-84.278836530661607,0,-84.278836530661607
2017-03-25,22,SE,2089,0,0,75.493064074738328,0,0,75.493064074738328,-75.493064074738328,0,-75.493064074738328
2017-03-22,24,SE,420,0,0,75,0,0,75,-75,0,-75
2017-03-22,14,AT,376,0,0,67.5,0,0,67.5,-67.5,0,-67.5
2017-03-31,44,SE,675,0,0,67.35,0,0,67.35,-67.35,0,-67.35
2017-03-22,43,SE,1883,0,0,63.630521580649514,0,0,63.630521580649514,-63.630521580649514,0,-63.630521580649514
2017-03-22,46,SE,1883,0,0,60.68076230207636,0,0,60.68076230207636,-60.68076230207636,0,-60.68076230207636
2017-03-31,18,GB,2378,0,0,56.576346694832857,0,0,56.576346694832857,-56.576346694832857,0,-56.576346694832857
2017-03-25,46,SE,1935,0,0,55.773672055427234,0,0,55.773672055427234,-55.773672055427234,0,-55.773672055427234
2017-03-27,12,AT,1883,0,0,55.361580321474769,0,0,55.361580321474769,-55.361580321474769,0,-55.361580321474769
2017-03-22,33,SE,420,0,0,54.9,0,0,54.9,-54.9,0,-54.9
2017-03-24,41,SE,2378,0,0,52.578999947420996,0,0,52.578999947420996,-52.578999947420996,0,-52.578999947420996
2017-03-22,28,SE,2378,0,0,46.774754274517193,0,0,46.774754274517193,-46.774754274517193,0,-46.774754274517193
2017-04-05,40,FI,1400,0,0,45.629552549427558,0,0,45.629552549427558,-45.629552549427558,0,-45.629552549427558
2017-03-21,16,SE,2378,0,0,44.174256925892514,0,0,44.174256925892514,-44.174256925892514,0,-44.174256925892514
2017-04-06,47,FI,1463,0,0,44,0,0,44,-44,0,-44
2017-03-28,19,SE,377,0,0,43.506486707223765,0,0,43.506486707223765,-43.506486707223765,0,-43.506486707223765
2017-04-04,32,SE,2555,0,0,43.019999999999996,0,0,43.019999999999996,-43.019999999999996,0,-43.019999999999996
2017-03-26,29,SE,399,0,0,42.884254453566626,0,0,42.884254453566626,-42.884254453566626,0,-42.884254453566626
2017-03-21,7,NO,1576,0,0,42.0707208818024,0,0,42.0707208818024,-42.0707208818024,0,-42.0707208818024
2017-03-30,34,SE,212,0,0,40.3,0,0,40.3,-40.3,0,-40.3
2017-04-02,41,SE,2555,0,0,40.2,0,0,40.2,-40.2,0,-40.2
2017-03-21,2,SE,2676,0,0,37.863648793622161,0,0,37.863648793622161,-37.863648793622161,0,-37.863648793622161
2017-03-21,46,SE,2676,0,0,34.708344727486981,0,0,34.708344727486981,-34.708344727486981,0,-34.708344727486981
2017-04-02,8,SE,377,0,0,33.696313547764284,0,0,33.696313547764284,-33.696313547764284,0,-33.696313547764284
