player_id,gender,country,latest_update
14,FEMALE,AT,2017-01-01
1,FEMALE,AT,2017-01-01
21,MALE,AT,2017-03-29
12,MALE,AT,2017-03-24
40,FEMALE,FI,2017-01-01
11,FEMALE,FI,2017-03-21
47,FEMALE,FI,2017-03-25
51,MALE,FI,2017-01-01
31,MALE,FI,2017-01-01
37,MALE,FI,2017-01-01
10,FEMALE,GB,2017-01-11
9,FEMALE,GB,2017-01-01
26,FEMALE,GB,2017-01-01
36,FEMALE,GB,2017-01-01
18,MALE,GB,2017-01-01
23,FEMALE,NO,2017-01-01
48,FEMALE,NO,2017-02-28
7,MALE,NO,2017-01-01
6,MALE,NO,2017-01-04
39,MALE,NO,2017-02-22
30,UNSPECIFIED,NO,2017-03-11
41,FEMALE,SE,2017-03-05
13,FEMALE,SE,2017-01-01
3,FEMALE,SE,2017-01-03
16,FEMALE,SE,2017-01-01
28,FEMALE,SE,2017-03-01
38,FEMALE,SE,2017-01-01
20,FEMALE,SE,2017-01-01
25,FEMALE,SE,2017-01-01
50,FEMALE,SE,2017-01-01
5,FEMALE,SE,2017-01-01
46,FEMALE,SE,2017-01-01
19,MALE,SE,2017-01-01
42,MALE,SE,2017-01-01
8,MALE,SE,2017-01-01
24,MALE,SE,2017-01-01
2,MALE,SE,2017-01-01
34,MALE,SE,2017-01-01
44,MALE,SE,2017-01-01
49,MALE,SE,2017-01-01
45,MALE,SE,2017-03-30
27,MALE,SE,2017-01-01
17,MALE,SE,2017-01-01
32,MALE,SE,2017-01-01
4,MALE,SE,2017-01-01
33,MALE,SE,2017-01-01
43,UNSPECIFIED,SE,2017-01-01
22,UNSPECIFIED,SE,2017-01-01
29,UNSPECIFIED,SE,2017-01-01
15,UNSPECIFIED,SE,2017-01-01
35,UNSPECIFIED,SE,2017-01-01
